net,length_um
clknet_5_27__leaf_clk,558.785
_17517_,558.46
_03833_,557.94
_04184_,557.87
_15681_,557.05
_05510_,556.64
_16984_,556.49
_17745_,555.67
_17924_,554.7
_17761_,553.655
_17078_,553.315
_04981_,552.84
_17569_,552.625
_16975_,552.42
_03642_,552.32
_04710_,552.3
_17168_,549.64
_03859_,549.52
_17013_,549.45
_13788_,548.89
_05149_,548.65
_18203_,548.36
_05509_,547.21
_16990_,546.26
_16971_,545.32
_17007_,545.27
_17567_,545.22
_04033_,545.15
_17348_,545.01
u_auth_fsm.pld_idx\[1\],543.75
_17577_,543.29
_16966_,543.18
u_cmd_parser.challenge_nonce\[32\],542.72
_03652_,542.05
_15016_,541.54
_03854_,540.52
_17827_,539.855
_03846_,539.66
_17473_,539.16
_13770_,537.46
net55,537.11
_04150_,536.135
_18263_,535.775
_17699_,535.04
_18364_,533.92
_18026_,533.775
_04010_,533.51
_16951_,533.31
_17083_,533.13
net62,532.625
_17229_,531.94
_17176_,531.51
_16964_,530.68
_17009_,530.66
_16838_,530.12
net65,529.9
clknet_5_30__leaf_clk,529.885
_17041_,529.7
_17080_,529.59
_05146_,527.75
_17085_,527.01
net77,525.69
_03870_,525.61
_16911_,524.18
_18156_,523.61
_12827_,521.56
_04324_,521.37
u_cmd_parser.challenge_nonce\[4\],521.175
_17124_,520.8
_19582_,520.48
u_cmd_parser.challenge_nonce\[15\],520.47
_04744_,520.025
_18017_,519.61
_17983_,519.46
net79,518.94
clknet_5_16__leaf_clk,518.42
_18120_,517.785
_07432_,516.15
_17333_,515.175
_04497_,514.99
_06237_,514.77
_17991_,514.19
_17006_,513.24
_14147_,513.04
_14156_,512.82
_17830_,510.92
clknet_5_28__leaf_clk,510.58
_16950_,509.95
_16904_,509.78
_04604_,509.34
_09323_,508.96
net42,508.73
_18104_,507.11
_17771_,507.06
_16994_,506.93
_17965_,506.895
_17309_,506.4
net60,506.39
_17998_,506.11
_04430_,504.07
_19706_,504.05
clknet_5_20__leaf_clk,503.35
_04637_,502.38
_17347_,501.52
_16955_,501.42
_17193_,500.92
net100,499.16
_05268_,498.24
_17888_,497.65
_05587_,497.6
_17464_,496.88
_05141_,496.61
_04810_,495.9
net72,495.58
_16961_,494.98
clknet_5_1__leaf_clk,494.84
_12925_,493.56
net67,492.99
_04077_,492.79
_19718_,491.98
_17174_,491.55
_05234_,491.16
u_cmd_parser.challenge_nonce\[123\],490.805
net39,490.71
_04464_,490.095
net2518,489.93
net63,489.27
_17516_,489.1
u_cmd_parser.challenge_nonce\[126\],488.86
_17561_,488.06
_16987_,487.165
_17509_,486.455
_17683_,485.795
_07998_,484.98
_04110_,482.85
_04918_,482.26
_17219_,482.16
_17378_,480.02
net38,479.89
_13230_,479.82
u_cmd_parser.challenge_nonce\[5\],479.72
_11217_,478.36
_17944_,478.3
net66,478.16
_08059_,477.6
_17286_,476.12
_13860_,475.7
_17787_,474.66
_04313_,474.53
_17603_,474.52
_17839_,474.455
_17279_,474.395
_04357_,474.09
_04530_,472.62
clknet_5_18__leaf_clk,472.53
_18136_,472.36
_05301_,471.54
_03640_,471.42
_04217_,470.29
_17401_,470.1
net58,469.76
_18152_,469.44
_13328_,469.1
_05506_,467.675
_15659_,467.35
_16455_,467.35
u_cmd_parser.challenge_nonce\[14\],465.8
_08117_,465.36
_16461_,464.18
_05257_,464.065
_04777_,463.1
_16454_,462.83
u_cmd_parser.challenge_nonce\[49\],462.275
_03551_,462.25
_04290_,462.25
_07433_,461.97
net80,460.605
_16989_,460.55
_05290_,460.115
net75,460.1
_17558_,459.745
net50,458.685
clknet_5_29__leaf_clk,458.1
_04670_,456.29
_17063_,455.24
net49,455.23
_18059_,454.43
_17296_,453.64
_17305_,452.86
_06884_,452.34
_13187_,451.96
_04250_,451.62
_17358_,451.515
_05334_,450.84
u_cmd_parser.challenge_nonce\[3\],450.68
_17278_,450.53
net59,450.315
net54,450.2
_09157_,449.86
net363,449.83
net43,449.74
net70,449.575
net74,448.595
_16812_,448.54
_17171_,447.96
clknet_5_31__leaf_clk,447.14
clknet_5_17__leaf_clk,446.85
net41,445.68
net76,445.64
_18221_,445
