net,length_um
_03850_,562.455
_15681_,560.53
_17206_,560.47
_17517_,560.18
_17248_,559.36
_17034_,559.26
_07656_,558.635
_04988_,558.575
_18364_,556.99
_17166_,555.515
_16975_,554.85
_06024_,554.76
_18116_,552.905
_17078_,552.585
net60,551.815
clknet_5_27__leaf_clk,551.78
_05149_,551.77
_17168_,551.3
_16984_,551.01
_15016_,551.005
_03652_,550.95
net41,550.69
_17827_,549.87
_04981_,549.74
_14924_,549.07
_04184_,548.995
clknet_5_20__leaf_clk,548.765
u_auth_fsm.pld_idx\[1\],548.3
_03642_,548.29
_18120_,546.735
net65,545.67
_17810_,545.19
_04710_,544.02
_17007_,543.99
clknet_5_28__leaf_clk,543.46
u_cmd_parser.challenge_nonce\[32\],542.66
_04150_,542.36
_16971_,541.92
_17699_,541.58
_17698_,541.56
_16906_,541.315
_03854_,540.14
_05509_,539.84
_16951_,539.2
_13770_,538.77
clknet_5_30__leaf_clk,538.74
net52,538.58
_17752_,537.83
_17991_,537.06
_13788_,536.72
_17229_,536.57
_17348_,535.39
_17041_,534.4
_04324_,533.24
clknet_5_18__leaf_clk,533.15
_17085_,531.65
_16911_,531.49
_17009_,531.41
_04033_,530.76
_17083_,528.97
_18017_,528.62
net55,528.46
_04497_,528.12
_04604_,527.71
_16838_,526.5
_16990_,525.88
_16966_,524.99
net42,524.98
_05146_,524.965
u_cmd_parser.challenge_nonce\[4\],524.59
_16964_,524.38
_17464_,524.08
_17176_,524.02
net77,523.79
_12827_,523.36
u_cmd_parser.challenge_nonce\[15\],523.21
_17983_,522.155
_18026_,521.445
_04010_,521.28
_17080_,521.05
_19582_,520.68
_03870_,519.6
_18156_,517.05
_14156_,516.03
_03846_,515.45
_17124_,515.05
_18535_,513.97
_18221_,513.27
_16994_,512.205
_14147_,512.12
_17333_,511.39
_09323_,511.04
net39,510.13
_07432_,510.04
_17561_,509.96
clknet_5_17__leaf_clk,508.93
_04637_,507.04
_06237_,506.2
_17771_,505.13
_17174_,504.15
_19706_,504.11
clknet_5_1__leaf_clk,502.66
_17998_,502.26
net66,501.95
_17830_,501.8
clknet_5_13__leaf_clk,501.51
net68,501.335
net100,501.1
_05141_,500.76
_04918_,500.14
_05268_,499.86
_04810_,499.46
_16955_,499.29
_17193_,499.08
_04744_,497.98
_17673_,497.3
_04077_,496.79
clknet_5_31__leaf_clk,496.6
_17888_,495.905
_05587_,495.85
u_cmd_parser.challenge_nonce\[123\],495.695
net38,495.46
_16987_,495.26
_12925_,494.82
_17309_,493.83
net53,493.69
net50,492.545
_17006_,492.35
net72,492.265
_17516_,491.65
_05234_,491.58
_16961_,490.54
u_cmd_parser.challenge_nonce\[13\],489.955
net63,489.24
u_cmd_parser.challenge_nonce\[5\],488.94
_18152_,488.67
_16904_,488.3
_04430_,488.12
_17603_,487.98
_04217_,486.98
_19718_,486.6
clknet_5_29__leaf_clk,486.355
_16950_,485.745
net2518,485.31
_04313_,485.26
_13230_,485.02
_07998_,484.62
net67,484.41
_17944_,483.32
_17378_,482.28
_13860_,481.92
u_cmd_parser.challenge_nonce\[49\],481.64
_04464_,481.335
_04670_,481.31
_17787_,480.2
_11217_,479.55
net79,479.34
u_cmd_parser.challenge_nonce\[126\],479
net70,478.88
_08059_,478.36
_17219_,477.51
_17286_,477.42
_16997_,477.4
_05301_,477.3
_04530_,476.87
_17509_,476.155
_03803_,475.57
_04357_,475.285
clknet_5_9__leaf_clk,475.13
_17683_,474.335
_17401_,473.64
_03640_,473.14
u_cmd_parser.challenge_nonce\[3\],470.86
_16455_,470.25
_04110_,469.61
u_cmd_parser.challenge_nonce\[14\],468.68
_17358_,467.615
_16461_,467.6
_04290_,467.46
_08117_,466.38
_18104_,466.08
_05506_,465.515
net78,464.83
_17278_,464.54
_13328_,464.02
_17213_,463.58
_13187_,462.86
_17305_,461.995
_16993_,461.83
_16454_,461.81
_17558_,461.5
_16989_,461.48
_06884_,459.26
clknet_5_25__leaf_clk,459.08
_04777_,457.92
_15543_,457.7
_17533_,457.61
_07433_,457.24
_05512_,457.19
_04250_,457.1
net76,456.24
_17839_,455.25
net363,455.07
net80,454.57
_18136_,454.32
_16900_,454.3
net59,453.52
net75,453.19
_05257_,452.475
_16812_,452.02
_16986_,451.98
_12117_,451.97
_14624_,450.12
_05334_,449.435
_05290_,448.455
_16635_,448.26
_18070_,447.595
_17770_,447.12
_13806_,446.765
_17063_,444.98
_04626_,444.04
_17189_,443.98
net49,443.7
u_cmd_parser.challenge_nonce\[10\],443.66
_17296_,443.24
_07960_,442.78
_09157_,442.67
net127,442.32
_17426_,440.9
_17055_,440.73
u_cmd_parser.challenge_nonce\[18\],440.635
_05741_,440.075
_17033_,439.88
_04733_,439.28
_14458_,439.11
_17257_,438.72
u_cmd_parser.challenge_nonce\[121\],438.64
u_cmd_parser.challenge_nonce\[127\],438.52
_15604_,435.89
_03551_,435.66
_17171_,435.33
net54,433.55
_04390_,432.12
_06940_,431.47
_17525_,431.24
_16910_,431.17
_15659_,429.88
_17079_,428.78
_16456_,428.75
u_cmd_parser.challenge_nonce\[11\],428.56
_18025_,427.81
_14287_,427.78
_11345_,427.41
clknet_5_14__leaf_clk,427.395
u_auth_fsm.nonce_hist\[4\]\[47\],426.93
_04206_,426.08
